# color images
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp filename
1305031104.443288 rgb/1305031104.443288.png
1305031104.475456 rgb/1305031104.475456.png
1305031104.511329 rgb/1305031104.511329.png
1305031104.543368 rgb/1305031104.543368.png
1305031104.575343 rgb/1305031104.575343.png
1305031104.611336 rgb/1305031104.611336.png
1305031104.643243 rgb/1305031104.643243.png
1305031104.675525 rgb/1305031104.675525.png
1305031104.711277 rgb/1305031104.711277.png
1305031104.743280 rgb/1305031104.743280.png
1305031104.775327 rgb/1305031104.775327.png
1305031104.811465 rgb/1305031104.811465.png
1305031104.843258 rgb/1305031104.843258.png
1305031104.875350 rgb/1305031104.875350.png
1305031104.911534 rgb/1305031104.911534.png
1305031104.943262 rgb/1305031104.943262.png
1305031104.975202 rgb/1305031104.975202.png
1305031105.011290 rgb/1305031105.011290.png
1305031105.043373 rgb/1305031105.043373.png
1305031105.075320 rgb/1305031105.075320.png
1305031105.111299 rgb/1305031105.111299.png
1305031105.143106 rgb/1305031105.143106.png
1305031105.175159 rgb/1305031105.175159.png
1305031105.211268 rgb/1305031105.211268.png
1305031105.243270 rgb/1305031105.243270.png
1305031105.275288 rgb/1305031105.275288.png
1305031105.311290 rgb/1305031105.311290.png
1305031105.343302 rgb/1305031105.343302.png
1305031105.375338 rgb/1305031105.375338.png
1305031105.411286 rgb/1305031105.411286.png
1305031105.443316 rgb/1305031105.443316.png
1305031105.475280 rgb/1305031105.475280.png
1305031105.511332 rgb/1305031105.511332.png
1305031105.543282 rgb/1305031105.543282.png
1305031105.575449 rgb/1305031105.575449.png
1305031105.611378 rgb/1305031105.611378.png
1305031105.643273 rgb/1305031105.643273.png
1305031105.675166 rgb/1305031105.675166.png
1305031105.711309 rgb/1305031105.711309.png
1305031105.743312 rgb/1305031105.743312.png
1305031105.775339 rgb/1305031105.775339.png
1305031105.811283 rgb/1305031105.811283.png
1305031105.843271 rgb/1305031105.843271.png
1305031105.875337 rgb/1305031105.875337.png
1305031105.911262 rgb/1305031105.911262.png
1305031105.943272 rgb/1305031105.943272.png
1305031105.975329 rgb/1305031105.975329.png
1305031106.011285 rgb/1305031106.011285.png
1305031106.043355 rgb/1305031106.043355.png
1305031106.075330 rgb/1305031106.075330.png

