# depth maps
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp filename
1305031104.431435 depth/1305031104.431435.png
1305031104.463413 depth/1305031104.463413.png
1305031104.495673 depth/1305031104.495673.png
1305031104.531450 depth/1305031104.531450.png
1305031104.563149 depth/1305031104.563149.png
1305031104.595033 depth/1305031104.595033.png
1305031104.631368 depth/1305031104.631368.png
1305031104.659863 depth/1305031104.659863.png
1305031104.695185 depth/1305031104.695185.png
1305031104.730936 depth/1305031104.730936.png
1305031104.763178 depth/1305031104.763178.png
1305031104.799499 depth/1305031104.799499.png
1305031104.830961 depth/1305031104.830961.png
1305031104.863256 depth/1305031104.863256.png
1305031104.899165 depth/1305031104.899165.png
1305031104.931091 depth/1305031104.931091.png
1305031104.959750 depth/1305031104.959750.png
1305031104.998342 depth/1305031104.998342.png
1305031105.030427 depth/1305031105.030427.png
1305031105.062445 depth/1305031105.062445.png
1305031105.097639 depth/1305031105.097639.png
1305031105.130269 depth/1305031105.130269.png
1305031105.159979 depth/1305031105.159979.png
1305031105.198212 depth/1305031105.198212.png
1305031105.228250 depth/1305031105.228250.png
1305031105.262389 depth/1305031105.262389.png
1305031105.298501 depth/1305031105.298501.png
1305031105.328878 depth/1305031105.328878.png
1305031105.362286 depth/1305031105.362286.png
1305031105.398191 depth/1305031105.398191.png
1305031105.430336 depth/1305031105.430336.png
1305031105.461421 depth/1305031105.461421.png
1305031105.497931 depth/1305031105.497931.png
1305031105.529583 depth/1305031105.529583.png
1305031105.562109 depth/1305031105.562109.png
1305031105.597193 depth/1305031105.597193.png
1305031105.627128 depth/1305031105.627128.png
1305031105.659104 depth/1305031105.659104.png
1305031105.698235 depth/1305031105.698235.png
1305031105.730336 depth/1305031105.730336.png
1305031105.762384 depth/1305031105.762384.png
1305031105.798056 depth/1305031105.798056.png
1305031105.830008 depth/1305031105.830008.png
1305031105.862238 depth/1305031105.862238.png
1305031105.898018 depth/1305031105.898018.png
1305031105.929855 depth/1305031105.929855.png
1305031105.966193 depth/1305031105.966193.png
1305031105.998271 depth/1305031105.998271.png
1305031106.030147 depth/1305031106.030147.png
1305031106.066060 depth/1305031106.066060.png
 
